CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2017,All,California,18-24,14717
2017,All,California,25-34,27104
2017,All,California,35-44,23993
2017,All,California,45-54,25677
2017,All,California,55-64,21978
2017,All,California,65+,6696
2017,All,California,Under 18,51544
2017,All,California,Unknown,4986
2017,CA-500,Santa Clara County CoC,18-24,820
2017,CA-500,Santa Clara County CoC,25-34,1585
2017,CA-500,Santa Clara County CoC,35-44,1523
2017,CA-500,Santa Clara County CoC,45-54,1767
2017,CA-500,Santa Clara County CoC,55-64,1590
2017,CA-500,Santa Clara County CoC,65+,498
2017,CA-500,Santa Clara County CoC,Under 18,2494
2017,CA-500,Santa Clara County CoC,Unknown,140
2017,CA-501,San Francisco CoC,18-24,452
2017,CA-501,San Francisco CoC,25-34,485
2017,CA-501,San Francisco CoC,35-44,510
2017,CA-501,San Francisco CoC,45-54,585
2017,CA-501,San Francisco CoC,55-64,518
2017,CA-501,San Francisco CoC,65+,180
2017,CA-501,San Francisco CoC,Under 18,1546
2017,CA-501,San Francisco CoC,Unknown,131
2017,CA-502,Alameda County CoC,18-24,799
2017,CA-502,Alameda County CoC,25-34,930
2017,CA-502,Alameda County CoC,35-44,792
2017,CA-502,Alameda County CoC,45-54,962
2017,CA-502,Alameda County CoC,55-64,892
2017,CA-502,Alameda County CoC,65+,288
2017,CA-502,Alameda County CoC,Under 18,1919
2017,CA-502,Alameda County CoC,Unknown,141
2017,CA-503,Sacramento County CoC,18-24,749
2017,CA-503,Sacramento County CoC,25-34,1590
2017,CA-503,Sacramento County CoC,35-44,1411
2017,CA-503,Sacramento County CoC,45-54,1530
2017,CA-503,Sacramento County CoC,55-64,1079
2017,CA-503,Sacramento County CoC,65+,271
2017,CA-503,Sacramento County CoC,Under 18,3709
2017,CA-503,Sacramento County CoC,Unknown,162
2017,CA-504,Sonoma County CoC,18-24,298
2017,CA-504,Sonoma County CoC,25-34,460
2017,CA-504,Sonoma County CoC,35-44,464
2017,CA-504,Sonoma County CoC,45-54,516
2017,CA-504,Sonoma County CoC,55-64,495
2017,CA-504,Sonoma County CoC,65+,155
2017,CA-504,Sonoma County CoC,Under 18,706
2017,CA-504,Sonoma County CoC,Unknown,30
2017,CA-505,Contra Costa County CoC,18-24,345
2017,CA-505,Contra Costa County CoC,25-34,790
2017,CA-505,Contra Costa County CoC,35-44,803
2017,CA-505,Contra Costa County CoC,45-54,876
2017,CA-505,Contra Costa County CoC,55-64,793
2017,CA-505,Contra Costa County CoC,65+,270
2017,CA-505,Contra Costa County CoC,Under 18,1072
2017,CA-505,Contra Costa County CoC,Unknown,57
2017,CA-506,"Monterey, San Benito Counties CoC",18-24,181
2017,CA-506,"Monterey, San Benito Counties CoC",25-34,349
2017,CA-506,"Monterey, San Benito Counties CoC",35-44,257
2017,CA-506,"Monterey, San Benito Counties CoC",45-54,253
2017,CA-506,"Monterey, San Benito Counties CoC",55-64,221
2017,CA-506,"Monterey, San Benito Counties CoC",65+,97
2017,CA-506,"Monterey, San Benito Counties CoC",Under 18,849
2017,CA-506,"Monterey, San Benito Counties CoC",Unknown,39
2017,CA-507,Marin County CoC,18-24,103
2017,CA-507,Marin County CoC,25-34,250
2017,CA-507,Marin County CoC,35-44,281
2017,CA-507,Marin County CoC,45-54,317
2017,CA-507,Marin County CoC,55-64,286
2017,CA-507,Marin County CoC,65+,110
2017,CA-507,Marin County CoC,Under 18,293
2017,CA-507,Marin County CoC,Unknown,15
2017,CA-508,Santa Cruz County CoC,18-24,111
2017,CA-508,Santa Cruz County CoC,25-34,288
2017,CA-508,Santa Cruz County CoC,35-44,271
2017,CA-508,Santa Cruz County CoC,45-54,313
2017,CA-508,Santa Cruz County CoC,55-64,290
2017,CA-508,Santa Cruz County CoC,65+,115
2017,CA-508,Santa Cruz County CoC,Under 18,440
2017,CA-508,Santa Cruz County CoC,Unknown,42
2017,CA-509,Mendocino County CoC,18-24,88
2017,CA-509,Mendocino County CoC,25-34,126
2017,CA-509,Mendocino County CoC,35-44,129
2017,CA-509,Mendocino County CoC,45-54,145
2017,CA-509,Mendocino County CoC,55-64,119
2017,CA-509,Mendocino County CoC,65+,43
2017,CA-509,Mendocino County CoC,Under 18,60
2017,CA-509,Mendocino County CoC,Unknown,*
2017,CA-510,Stanislaus County CoC,18-24,542
2017,CA-510,Stanislaus County CoC,25-34,983
